replicate,add_cor_est_1_2_Gamma,add_cor_est_1_2,add_cor_est_1_2_SE,add_cor_est_1_2_Z,add_cor_est_1_2_Con,add_var_est_1_Gamma,add_var_est_1,add_var_est_1_SE,add_var_est_1_Z,add_var_est_1_Con,add_var_est_2_Gamma,add_var_est_2,add_var_est_2_SE,add_var_est_2_Z,add_var_est_2_Con,res_var_est_1_Gamma,res_var_est_1,res_var_est_1_SE,res_var_est_1_Z,res_var_est_1_Con,res_cov_est_1_2_Gamma,res_cov_est_1_2,res_cov_est_1_2_SE,res_cov_est_1_2_Z,res_cov_est_1_2_Con,res_var_est_2_Gamma,res_var_est_2,res_var_est_2_SE,res_var_est_2_Z,res_var_est_2_Con,res_cor_est_1_2,res_cor_est_1_2_SE,res_cor_est_1_2_Z,h2_est_1,h2_est_2,h2_est_1_se,h2_est_2_se
32,0.719230666087375,0.719230666087375,0.0723417855831651,9.94211934761463,Unconstrained,0.458346913929596,0.458346913929596,0.102397054274601,4.47617284673479,Positive,0.466731123632392,0.466731123632392,0.0884814454808326,5.27490392020662,Positive,0.617439105465976,0.617439105465976,0.0678633984248469,9.09826386236372,Positive,0.333702617311148,0.333702617311148,0.052905137783464,6.30756541409954,Positive,0.368743614314942,0.368743614314942,0.0538415689758049,6.84867884293354,Positive,0.699359200770997,0.110876250162653,6.30756541409954,0.426057697038225,0.558641814567723,0.0780730832503369,0.0796915130704953
33,0.664562054790936,0.664562054790936,0.106348639430683,6.24890039354094,Unconstrained,0.220011716207727,0.220011716207727,0.065389449081117,3.36463633352834,Positive,0.257132861355689,0.257132861355689,0.0631700553179171,4.07048656300223,Positive,0.724725286529535,0.724725286529535,0.0543478288026989,13.3349446058008,Positive,0.412970757739248,0.412970757739248,0.041879289932316,9.86097802533611,Positive,0.455047125175322,0.455047125175322,0.0442487518210948,10.2838409321726,Positive,0.719125030985956,0.0729263394704143,9.86097802533611,0.232881442740434,0.361050389253662,0.0632416694897036,0.0756429393997072
34,0.639593436411592,0.639593436411592,0.111257677153623,5.74875777361819,Unconstrained,0.205421517574252,0.205421517574252,0.0623151285621803,3.29649512588704,Positive,0.241223518226723,0.241223518226723,0.0576831842773718,4.18186896664355,Positive,0.713480280121535,0.713480280121535,0.0526463830248803,13.5523133618572,Positive,0.395715011266472,0.395715011266472,0.0393539542384741,10.055279550018,Positive,0.437537720362386,0.437537720362386,0.0409444865431954,10.6861205818467,Positive,0.708245442244335,0.0704351817094004,10.055279550018,0.223551110781763,0.35538788091102,0.06226348543153,0.0726416157340425
35,0.862121208191152,0.862121208191152,0.0411569475574722,20.9471610348963,Unconstrained,0.535849873779092,0.535849873779092,0.118013536165636,4.54057976050313,Positive,0.537470042913956,0.537470042913956,0.102848843548183,5.2258248549208,Positive,0.570375893552991,0.570375893552991,0.0748396312602759,7.6213081752013,Positive,0.243897471418292,0.243897471418292,0.0603438920461269,4.04179218721683,Positive,0.284082018246207,0.284082018246207,0.0596727597674564,4.76066498940671,Positive,0.605905429754687,0.149910089803977,4.04179218721683,0.484394677472951,0.654213005265865,0.0846729465208671,0.0885162338093871
36,0.625932239028815,0.625932239028815,0.0939146281447987,6.66490674981692,Unconstrained,0.320172961861828,0.320172961861828,0.0834474323932604,3.83682220865656,Positive,0.428381145202152,0.428381145202152,0.0824515435318857,5.19555034208048,Positive,0.689413490184225,0.689413490184225,0.0613224491447612,11.2424324174783,Positive,0.427727921171772,0.427727921171772,0.0489029880742167,8.7464577935941,Positive,0.481299983784757,0.481299983784757,0.0536612567657096,8.96922682758178,Positive,0.742539889129216,0.0848960695463542,8.7464577935941,0.317132783639239,0.47091352293878,0.0722530196488755,0.0720858822011936
37,0.721470722771369,0.721470722771369,0.0968181818987819,7.45181027594205,Unconstrained,0.145784863157085,0.145784863157085,0.0483869873205642,3.01289398720484,Positive,0.361589050500287,0.361589050500287,0.072944547958094,4.9570401163911,Positive,0.790344138440521,0.790344138440521,0.0494587759049797,15.9798564355683,Positive,0.398308589110656,0.398308589110656,0.0404232691460656,9.85344821249874,Positive,0.40220473108385,0.40220473108385,0.0471419429028189,8.53178096441587,Positive,0.706460632552782,0.0716967925661457,9.85344821249874,0.155731595654324,0.473411880560663,0.0489970812374098,0.0760473175658981
38,0.87834449387849,0.87834449387849,0.0430057784173976,20.4238715400897,Unconstrained,0.400749757552452,0.400749757552452,0.0938630149315686,4.26951720914378,Positive,0.650725646173729,0.650725646173729,0.133119747390639,4.88827284402951,Positive,0.560189332200375,0.560189332200375,0.0621774939375968,9.00951930874857,Positive,0.228026877975659,0.228026877975659,0.0609220982252442,3.74292554948759,Positive,0.267466282676601,0.267466282676601,0.075853144656159,3.52610671434943,Positive,0.589093326863768,0.157388470348927,3.74292554948759,0.417039708162494,0.708703295822371,0.0805854315495975,0.0990234484927951
39,0.727263360275713,0.727263360275713,0.0718501115875104,10.1219517159683,Unconstrained,0.476836894173938,0.476836894173938,0.10356444140331,4.6042530400661,Positive,0.495246787099146,0.495246787099146,0.105795577718186,4.68116718846571,Positive,0.630678670397796,0.630678670397796,0.0683686962530464,9.22467013358755,Positive,0.331714536492952,0.331714536492952,0.0562993487116567,5.89197822148644,Positive,0.370189704537126,0.370189704537126,0.0634809346241005,5.83150999160909,Positive,0.686512206969541,0.116516419640863,5.89197822148644,0.430546449573669,0.572250872115166,0.0763166860389326,0.0916523895750592
40,0.515029171589038,0.515029171589038,0.130235007373093,3.95461390894384,Unconstrained,0.242165473424172,0.242165473424172,0.0691549865375901,3.50177891065801,Positive,0.43500757541924,0.43500757541924,0.0934645335071162,4.65425289247413,Positive,0.706934930189064,0.706934930189064,0.0553672278902057,12.7681113381896,Positive,0.365331984632279,0.365331984632279,0.044771588045052,8.15990677535627,Positive,0.326711307816783,0.326711307816783,0.0561008996065857,5.82363759062484,Positive,0.760179042990754,0.0931602607626071,8.15990677535627,0.255152639807385,0.571086768351062,0.0658184083095156,0.0920809275237007
41,0.883065248531813,0.883065248531813,0.0502197846544303,17.5840110547728,Unconstrained,0.227616215927094,0.227616215927094,0.0664408755419845,3.4258461236451,Positive,0.269087285643935,0.269087285643935,0.0691731967792052,3.89005132295445,Positive,0.698918757252443,0.698918757252443,0.0537780634233906,12.9963541407192,Positive,0.375901533453081,0.375901533453081,0.0449898866269312,8.35524518143738,Positive,0.45088586850095,0.45088586850095,0.0473348074368274,9.52546113349459,Positive,0.669618490226213,0.0801434877954134,8.35524518143738,0.245663922588908,0.373746276642122,0.0650551955270147,0.0814789717004863
42,0.72301115429804,0.72301115429804,0.0922260755972325,7.83955242176364,Unconstrained,0.334107112479755,0.334107112479755,0.0830804898133773,4.02148703299964,Positive,0.163293763642611,0.163293763642611,0.0461566107910347,3.53781962852283,Positive,0.641815704360166,0.641815704360166,0.0594201966977377,10.801305617095,Positive,0.382976426236572,0.382976426236572,0.0408095006932803,9.38449183965716,Positive,0.521569987514053,0.521569987514053,0.0385030469954071,13.5462003195817,Positive,0.661927731011693,0.0705342113692834,9.38449183965716,0.342349934558973,0.238432481448792,0.0733205664356619,0.061341213482607
43,0.676212616754276,0.676212616754276,0.120372825514573,5.61765177367551,Unconstrained,0.120135266965624,0.120135266965624,0.0432528941222445,2.77750817381351,Positive,0.404892228515338,0.404892228515338,0.0882431885895496,4.58836806542242,Positive,0.801993497672241,0.801993497672241,0.04803199340504,16.6970687830767,Positive,0.443815499560651,0.443815499560651,0.0418112691166411,10.6147339924683,Positive,0.433465978190704,0.433465978190704,0.0557708190729331,7.77227204828833,Positive,0.752730534389176,0.0709137445105337,10.6147339924683,0.130280359503592,0.482958507803225,0.0449886452767945,0.0833814616349159
44,0.698281379790908,0.698281379790908,0.0886697438248714,7.87508060438361,Unconstrained,0.358368186168412,0.358368186168412,0.0876392692448024,4.08912795892198,Positive,0.278955056032131,0.278955056032131,0.0676573207387631,4.12305797785321,Positive,0.74790789147855,0.74790789147855,0.0646093224764512,11.5758510198145,Positive,0.429133035182105,0.429133035182105,0.047305284780413,9.07156646818856,Positive,0.455200033864657,0.455200033864657,0.0463623535983021,9.81831159411474,Positive,0.735473023224926,0.0810745339081209,9.07156646818856,0.323941006598152,0.379967475361845,0.0688369131926402,0.0777153397180701
45,0.727779847489462,0.727779847489462,0.0746138501497521,9.75395112340117,Unconstrained,0.380465959253637,0.380465959253637,0.0978317480135553,3.88898253357305,Positive,0.473650482461286,0.473650482461286,0.0925935527745194,5.11537216435256,Positive,0.686277202445351,0.686277202445351,0.0683637433132529,10.0386135864551,Positive,0.378884080959958,0.378884080959958,0.0547032335401247,6.92617339854411,Positive,0.368359071688123,0.368359071688123,0.056348264346904,6.53718576707788,Positive,0.753565292256572,0.108799657313658,6.92617339854411,0.356661259161647,0.562523881263751,0.0785246627791697,0.0828302799955186
46,0.898091088403405,0.898091088403405,0.0481637597253247,18.6466150799931,Unconstrained,0.202229248475511,0.202229248475511,0.0591087819712734,3.42130630561452,Positive,0.513721675353276,0.513721675353276,0.0989900561751735,5.18962909207962,Positive,0.784003771799499,0.784003771799499,0.0537375236757062,14.589503165996,Positive,0.372248742118235,0.372248742118235,0.0487272351512312,7.63943903164039,Positive,0.377230436845466,0.377230436845466,0.0597546634480252,6.31298739007345,Positive,0.684495818750788,0.0896002724697194,7.63943903164039,0.205052197926936,0.576598526811373,0.0555610063861616,0.0828538497862913
